Device,Serial Number,IP Address,Asset Number,Location,Model,Black,Cyan,Magenta,Yellow
Canon iR1435,RZJ44162,10.200.210.49,HCMC3424,P5.663,Canon imageRUNNER 1435, ,,,
Canon iR1435,YDB06503,10.200.110.29,HCMC3570,P4.207,Canon imageRUNNER 1435, ,,,
Canon iR1435,RZJ43740,10.205.64.251,HCMC3389,A6.415,Canon imageRUNNER 1435, ,,,
Canon iR1435,RZJ44071,10.200.31.162,HCMC3441,O5.221,Canon imageRUNNER 1435, ,,,
Canon iR-ADV 500 35.01,QLL06629,10.200.100.82,HCMC2059,RL.240,Canon imageRUNNER ADVANCE 500i,5%,,,
Canon iR-ADV 527 35.44,23D09885,10.200.59.232,HCMC2903,O7.121 PEDS,Canon iR ADV 527, ,,,
Canon iR-ADV C3330 25.01,QTV05309,10.200.207.226,HCMC1951,P4.510,Canon iR-ADV-C3330i, , , , 
Canon iR-ADV C355 75.18,WKE02424,10.200.106.53,HCMC2266,R1.311 APS,Canon imageRUNNER ADVANCE C355i, , , , 
Canon iR-ADV C355 75.18,WKE04779,10.205.64.227,HCMC3310,A6.371,Canon imageRUNNER ADVANCE C355i, , , , 
Canon iR-ADV C356 III 45.44,2QC07101,10.200.19.98,HCMC3758,G1.190 VOLUNTEER SERVICES,Canon iR-ADV C356i, , , , 
Canon iR-ADV C357 35.18,4QV03318,10.205.24.238,HHS7584,A2.400,Canon iR-ADV C357, , , , 
Canon iR-ADV C357 35.18,2UL05834,10.200.130.54,HCMC2876,R7.232,Canon iR-ADV C357, , , , 
Canon iR-ADV C3725 35.44,2UA12639,10.200.40.84,HCMC3923,B3.010,Canon iR-ADV C3725, , , , 
Canon iR-ADV C3730 35.44,2UR08772,10.200.110.147,HCMC3928,R2.122,Canon iR-ADV C3730, , , , 
Canon iR-ADV C3830 25.18,4BT05087,10.205.30.249,HHS7411,A3.500,Undefined, , , , 
Canon iR-ADV C3830 25.47,3FY04681,10.205.34.229,HHS7406,A3.300,Undefined, , , , 
Canon iR-ADV C5535 III 45.44,2KJ07974,10.200.202.27,HCMC3568,PL.710,Canon iR-ADV C5535, , , , 
Canon iR-ADV C5840 24.12,2YJ01224,10.200.22.189,HCMC3985,O1.220,Canon iR-ADV C5840, , , , 
Canon iR-ADV C5840 25.18,2YJ22080,10.210.12.22,HHS7053,W2.2340 COPY ROOM,Canon iR-ADV C5840, , , , 
Canon iR-ADV C5860 25.18,2XK00597,10.200.22.68,HCMC3937,G1.300A,Undefined, , , , 
Canon MF1643i II,35A07894,10.210.44.90,HHS8555,SA Team Center 1,Canon iR1643i, ,,,
